LocationID,Borough,Zone,service_zone,search,latitude,longitude
224,Manhattan,Stuy Town/Peter Cooper Village,Yellow Zone,"Stuy Town/Peter Cooper Village,  New York NYC",40.731533,-73.978561
225,Brooklyn,Stuyvesant Heights,Boro Zone,"Stuyvesant Heights,  New York NYC",40.6854971,-73.94113506
226,Queens,Sunnyside,Boro Zone,"Sunnyside,  New York NYC",40.7398242,-73.9354153
227,Brooklyn,Sunset Park East,Boro Zone,"Sunset Park East,  New York NYC",40.644337,-74.007532
228,Brooklyn,Sunset Park West,Boro Zone,"Sunset Park West,  New York NYC",40.644337,-74.007532
229,Manhattan,Sutton Place/Turtle Bay North,Yellow Zone,"Sutton Place/Turtle Bay North,  New York NYC",40.75565875,-73.96526737
230,Manhattan,Times Sq/Theatre District,Yellow Zone,"Times Sq/Theatre District,  New York NYC",40.760443,-73.983964
231,Manhattan,TriBeCa/Civic Center,Yellow Zone,"TriBeCa/Civic Center,  New York NYC",40.7153802,-74.0093063
232,Manhattan,Two Bridges/Seward Park,Yellow Zone,"Two Bridges/Seward Park,  New York NYC",40.715373,-73.988904
233,Manhattan,UN/Turtle Bay South,Yellow Zone,"UN/Turtle Bay South,  New York NYC",40.75026105,-73.96719495
234,Manhattan,Union Sq,Yellow Zone,"Union Sq,  New York NYC",40.7359091,-73.9901626
235,Bronx,University Heights/Morris Heights,Boro Zone,"University Heights/Morris Heights,  New York NYC",40.856708,-73.910836
236,Manhattan,Upper East Side North,Yellow Zone,"Upper East Side North,  New York NYC",40.7737016,-73.9641196
237,Manhattan,Upper East Side South,Yellow Zone,"Upper East Side South,  New York NYC",40.7737016,-73.9641196
238,Manhattan,Upper West Side North,Yellow Zone,"Upper West Side North,  New York NYC",40.7870455,-73.9754163
239,Manhattan,Upper West Side South,Yellow Zone,"Upper West Side South,  New York NYC",40.7870455,-73.9754163
240,Bronx,Van Cortlandt Park,Boro Zone,"Van Cortlandt Park,  New York NYC",40.8970755,-73.88657971
241,Bronx,Van Cortlandt Village,Boro Zone,"Van Cortlandt Village,  New York NYC",40.883414,-73.892458
242,Bronx,Van Nest/Morris Park,Boro Zone,"Van Nest/Morris Park,  New York NYC",40.846769,-73.859981
243,Manhattan,Washington Heights North,Boro Zone,"Washington Heights North,  New York NYC",40.8401984,-73.9402214
244,Manhattan,Washington Heights South,Boro Zone,"Washington Heights South,  New York NYC",40.8401984,-73.9402214
245,Staten Island,West Brighton,Boro Zone,"West Brighton,  New York NYC",40.5780867,-73.97492455
246,Manhattan,West Chelsea/Hudson Yards,Yellow Zone,"West Chelsea/Hudson Yards,  New York NYC",40.755104,-74.002415
247,Bronx,West Concourse,Boro Zone,"West Concourse,  New York NYC",40.830512,-73.923735
248,Bronx,West Farms/Bronx River,Boro Zone,"West Farms/Bronx River,  New York NYC",40.842147,-73.881476
249,Manhattan,West Village,Yellow Zone,"West Village,  New York NYC",40.7341857,-74.00558
250,Bronx,Westchester Village/Unionport,Boro Zone,"Westchester Village/Unionport,  New York NYC",40.830898,-73.870101
251,Staten Island,Westerleigh,Boro Zone,"Westerleigh,  New York NYC",40.621215,-74.1318094
252,Queens,Whitestone,Boro Zone,"Whitestone,  New York NYC",40.7945457,-73.8184674
253,Queens,Willets Point,Boro Zone,"Willets Point,  New York NYC",40.796708,-73.779396
254,Bronx,Williamsbridge/Olinville,Boro Zone,"Williamsbridge/Olinville,  New York NYC",40.871333,-73.868582
255,Brooklyn,Williamsburg (North Side),Boro Zone,"Williamsburg (North Side),  New York NYC",40.714622,-73.95345
256,Brooklyn,Williamsburg (South Side),Boro Zone,"Williamsburg (South Side),  New York NYC",40.704459,-73.956272
257,Brooklyn,Windsor Terrace,Boro Zone,"Windsor Terrace,  New York NYC",40.6557846,-73.9765441
258,Queens,Woodhaven,Boro Zone,"Woodhaven,  New York NYC",40.6892698,-73.8579131
259,Bronx,Woodlawn/Wakefield,Boro Zone,"Woodlawn/Wakefield,  New York NYC",40.897599,-73.859298
260,Queens,Woodside,Boro Zone,"Woodside,  New York NYC",40.7453798,-73.9054145
261,Manhattan,World Trade Center,Yellow Zone,"World Trade Center,  New York NYC",40.7118914,-74.0126129
262,Manhattan,Yorkville East,Yellow Zone,"Yorkville East,  New York NYC",40.7780067,-73.9482022
263,Manhattan,Yorkville West,Yellow Zone,"Yorkville West,  New York NYC",40.7780067,-73.9482022
264,Unknown,NV,,"NV,  New York NYC",0,0
265,Unknown,,,,0,0
